Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
263756,OIE,48.9001,28.9558,Europe,Ukraine,Vinnyts'ka,Buhakiv,Exact,18/01/2020,20/01/2020,Confirmed,Influenza - Avian,H5 HPAI,domestic, unspecified bird,98000,4856,4856,,,,,
263290,OIE,23.2621,82.5605,Asia,India,Chhattisgarh,Government Poultry Farming Region,Exact,12/07/2019,01/08/2020,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,21060,5634,5634,15426,,,0,
262831,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,17,,,,,
262830,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,24,,,,,
262829,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, muscovy ducks,,,59,,,,,
262771,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,24,,,,0,
262770,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, muscovy ducks,,,59,,,,0,
262762,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,17,,,,0,
262761,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,24,,,,0,
262759,FAO Field Officer,-6.066353,106.17596,Asia,Indonesia,Banten,Kilasah,Exact,,20/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, muscovy ducks,,,59,,,,0,
261436,OIE,23.4759,120.27001,Asia,Taiwan (Province of China),Taiwan Sheng,Puzi city,Exact,27/10/2019,20/11/2019,Confirmed,Influenza - Avian,H5 HPAI,domestic, chicken,3000,2899,2899,101,,,0,
262828,FAO Field Officer,-7.914561,112.531354,Asia,Indonesia,Jawa Timur,Tlekung,Exact,,22/10/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,200,,,,,
262758,FAO Field Officer,-7.914561,112.531354,Asia,Indonesia,Jawa Timur,Tlekung,Exact,,22/10/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,200,,,,0,
258633,OIE,26.55805556,87.51611111,Asia,Nepal,Eastern,Kanepokhari-3,Exact,19/08/2019,09/02/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,417,195,195,222,,,,
254693,OIE,27.98174,85.25881,Asia,Nepal,Central,Naukunda Rural Municipality-5,Unknown,18/06/2019,26/06/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,900,219,219,681,0,,0,
254657,OIE,27.669813,85.410775,Asia,Nepal,Central,Suryabinayak municipality-5,Unknown,06/11/2019,25/06/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,5496,1535,1535,3961,0,,0,
260144,National authorities,10.533333,106.404167,Asia,Viet Nam,Long An,Tan an,Centroid Locality,05/12/2019,17/05/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,1990,1200,540,1990,,,0,
253261,OIE,9.8088,105.8023,Asia,Viet Nam,Hau Giang,Lai Hieu,Exact,05/04/2019,20/05/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,1120,,,1120,,,,
252684,OIE,27.559229,84.04133,Asia,Nepal,Western,Madhyabidu municipality-2,Exact,05/02/2019,05/05/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,271,25,25,246,0,,,
260143,National authorities,15.785,108.073,Asia,Viet Nam,Quang Nam,An Hoa,Centroid Locality,05/01/2019,05/05/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,1100,,1100,,,0,
252106,OIE,27.74111111,85.41666667,Asia,Nepal,Central,Kageshwori,Exact,23/04/2019,29/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,500,190,190,310,,,0,
251430,OIE,27.623224,85.359019,Asia,Nepal,Central,Godabari-1,Exact,04/12/2019,13/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,1000,123,123,877,,,,
251274,OIE,26.8382,89.1136,Asia,Bhutan,Samtse,Dhamdara,Exact,04/06/2019,04/11/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,2000,264,264,1095,,,0,
250202,OIE,43.0747,24.0764,Europe,Bulgaria,Lovech,Lovech,Exact,04/02/2019,04/03/2019,Confirmed,Influenza - Avian,H5 HPAI,domestic, unspecified bird,1400,20,0,1400,,,0,
250118,National authorities,42.13527,122.79055,Asia,China,Liaoning Sheng,Xinmin City,Exact,,31/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,25472,1000,1000,24472,,,0,
250235,OIE,27.643333,85.401388,Asia,Nepal,Central,Suryabinayak municipality-1,Exact,29/03/2019,04/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,3200,215,215,2985,,,,
